customer_id,customer_name,customer_segment
201,Daniel Ahmed,Corporate
202,Jack Garcia,Consumer
203,Charlotte Taylor,Corporate
204,Nadia Anderson,Corporate
205,Akash Ahmed,Consumer
206,Isabella Martinez,Corporate
207,Samira Evans,Corporate
208,Nadia Khan,Consumer
209,Hasan Harris,Small Business
210,Aarav White,Small Business
211,Omar Islam,Consumer
212,Henry White,Consumer
213,Benjamin Johnson,Consumer
214,Maya Roberts,Consumer
215,Akash Walker,Consumer
216,Daniel Karim,Consumer
217,Samira Haque,Small Business
218,Nabila Hossain,Small Business
219,Imran Evans,Corporate
220,Akash Taylor,Consumer
221,Layla Anderson,Small Business
222,Charlotte Johnson,Consumer
223,Mia Davis,Consumer
224,Henry Taylor,Consumer
225,Arjun Roberts,Corporate
226,Nadia Walker,Consumer
227,Sarah Johnson,Consumer
228,Samira Garcia,Corporate
229,Amelia Garcia,Small Business
230,Liam Johnson,Consumer
231,Henry Karim,Small Business
232,Liam Evans,Corporate
233,Noah Hossain,Small Business
234,Sarah Clark,Consumer
235,Jack Walker,Corporate
236,James Walker,Corporate
237,Hasan Johnson,Consumer
238,Emma Martinez,Consumer
239,Amelia Chowdhury,Consumer
240,Fatima Wilson,Corporate
241,Rafi Anderson,Consumer
242,Rafi Lewis,Corporate
243,Samira Chowdhury,Small Business
244,Daniel Taylor,Small Business
245,John White,Corporate
246,Daniel Haque,Consumer
247,Sarah Ahmed,Small Business
248,James Martinez,Corporate
249,William Karim,Consumer
250,Leo Young,Corporate
251,Rafi Evans,Consumer
252,Fatima Miller,Small Business
253,Zara Karim,Consumer
254,Liam Martin,Consumer
255,Mia Hossain,Small Business
256,Leo Garcia,Consumer
257,Imran Anderson,Consumer
258,Thomas Young,Consumer
259,Nadia White,Consumer
260,Sophia Miller,Consumer
261,Zara Chowdhury,Corporate
262,Hannah Thomas,Consumer
263,Mia Lewis,Small Business
264,Rayan Brown,Consumer
265,Arjun Islam,Consumer
266,Hasan Garcia,Consumer
267,Arjun Hossain,Consumer
268,Lucas Anderson,Consumer
269,John Taylor,Consumer
270,Nadia Clark,Corporate
271,Imran Rahman,Consumer
272,Sophia Wilson,Consumer
273,Charlotte Brown,Corporate
274,Maya Khan,Consumer
275,Amelia Taylor,Corporate
276,Charlotte Ali,Consumer
277,Lucas Wilson,Small Business
278,Jack Evans,Consumer
279,Rayan Clark,Consumer
280,John Lewis,Consumer
281,Arjun Lewis,Small Business
282,Samira Brown,Consumer
283,Nadia Young,Consumer
284,Benjamin Karim,Corporate
285,Jack Davis,Consumer
286,Sophia Evans,Small Business
287,Amelia Davis,Consumer
288,Michael Harris,Small Business
289,Sarah Haque,Consumer
290,Samira Taylor,Corporate
291,Ethan Evans,Consumer
292,Amelia Rahman,Corporate
293,Amelia Walker,Consumer
294,Sophia Martinez,Small Business
295,Zara Davis,Consumer
296,William Anderson,Small Business
297,Arjun Taylor,Small Business
298,Noah Brown,Small Business
299,Imran Garcia,Corporate
300,Akash Roberts,Consumer
301,Hasan Rahman,Corporate
302,James Evans,Corporate
303,Liam Garcia,Consumer
304,Emma Taylor,Corporate
305,Sarah Islam,Small Business
306,Arjun Ahmed,Consumer
307,Imran Brown,Consumer
308,Henry Martinez,Consumer
309,Maya Hossain,Consumer
